2016-07-21 18:05:23,341 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2016-07-21 18:05:26,376 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2016-07-21 18:05:28,870 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-07-21 18:05:32,225 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
2016-07-21 18:05:34,097 | INFO  | Initializing Spring root WebApplicationContext | /camel | main
2016-07-21 18:05:34,838 | INFO  | camel-osgi.jar/camel-spring-osgi.jar not detected in classpath | org.apache.camel.spring.handler.CamelNamespaceHandler | main
2016-07-21 18:05:39,146 | INFO  | Apache Camel 2.4.0 (CamelContext: camel) is starting | org.apache.camel.impl.DefaultCamelContext | main
2016-07-21 18:05:39,147 | INFO  | JMX enabled. Using ManagedManagementStrategy. | org.apache.camel.impl.DefaultCamelContext | main
2016-07-21 18:05:40,800 | INFO  | Found 4 packages with 15 @Converter classes to load | org.apache.camel.impl.converter.AnnotationTypeConverterLoader | main
2016-07-21 18:05:40,976 | INFO  | Loaded 146 type converters in 1.133 seconds | org.apache.camel.impl.converter.DefaultTypeConverter | main
2016-07-21 18:05:41,786 | INFO  | Connector vm://localhost Started | org.apache.activemq.broker.TransportConnector | main
2016-07-21 18:05:42,055 | INFO  | Route: route1 started and consuming from: Endpoint[activemq://example.A] | org.apache.camel.impl.DefaultCamelContext | main
2016-07-21 18:05:42,055 | INFO  | Started 1 routes | org.apache.camel.impl.DefaultCamelContext | main
2016-07-21 18:05:42,055 | INFO  | Apache Camel 2.4.0 (CamelContext: camel) started in 2.909 seconds | org.apache.camel.impl.DefaultCamelContext | main
2016-07-21 18:05:48,922 | INFO  | Camel Console at http://0.0.0.0:8161/camel | org.eclipse.jetty.util.log | main
2016-07-21 18:05:49,246 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.util.log | main
2016-07-21 18:05:49,356 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.util.log | main
2016-07-21 18:05:49,581 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.util.log | main
2016-07-21 18:07:03,469 | INFO  | Usage Manager memory limit (1048576) reached for topic:///twister/map-reduce/submit/topic/0. Producers will be throttled to the rate at which messages are removed from this destination to prevent flooding it. See http://activemq.apache.org/producer-flow-control.html for more info | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:07:06,211 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:528:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:07:10,287 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:571:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:07:15,947 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:635:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:07:22,782 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:675:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:07:25,313 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:722:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:07:38,645 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:751:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:07:56,869 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:816:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:08:03,096 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:849:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:08:26,159 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:882:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:08:30,072 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:901:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:08:59,710 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:963:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:09:04,803 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:980:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:09:42,992 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:1059:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:09:54,150 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:1118:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:10:24,272 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:1118:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 31s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:10:44,037 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:1179:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:12:23,807 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:1334:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 1s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
2016-07-21 18:12:54,060 | INFO  | Usage Manager memory limit reached. Stopping producer (ID:Jackson-MacBook-Pro.local-49246-1469117219322-0:1:1334:1) to prevent flooding topic:///twister/map-reduce/submit/topic/0. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 31s) | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:49247
